3,6670112,Marcos Juarez,Cordoba
1,4640736,General Arenales,Buenos Aires
1,7606970,San Fernando,Chaco
3,7627071,Sargento Cabral,Chaco
1,8602430,Capital,La Rioja
0,11460685,San Jeronimo,Santa Fe
0,702502,Comuna 10,Ciudad Autonoma de Buenos Aires
3,11130908,Rosario,Santa Fe
3,2295989,La Matanza,Buenos Aires
1,2217903,La Matanza,Buenos Aires
0,5844712,Trenque Lauquen,Buenos Aires
1,7633585,25 de Mayo,Chaco
0,7408212,2 de Abril,Chaco
1,11703331,Choya,Santiago del Estero
0,11971038,Capital,Tucuman
3,12078486,Capital,Tucuman
3,9132276,San Rafael,Mendoza
1,8379563,Dr. Manuel Belgrano,Jujuy
1,4661544,General Las Heras,Buenos Aires
0,10959565,La Capital,Santa Fe
1,10070323,General Jose de San Martin,Salta
0,6666982,Marcos Juarez,Cordoba
1,9197791,Cainguas,Misiones
3,8732753,General Alvear,Mendoza
1,2313231,La Matanza,Buenos Aires
3,3777297,Tigre,Buenos Aires
0,1538542,Esteban Echeverria,Buenos Aires
0,3298101,Moron,Buenos Aires
3,2391894,La Matanza,Buenos Aires
1,11410951,Rosario,Santa Fe
0,8095539,Parana,Entre Rios
3,1210466,Almirante Brown,Buenos Aires
3,6341431,Capital,Cordoba
0,2230948,La Matanza,Buenos Aires
1,8639034,Capital,La Rioja
0,11741217,Moreno,Santiago del Estero
1,11032020,Rosario,Santa Fe
3,9654693,Zapala,Neuquen
1,2891514,Lomas de Zamora,Buenos Aires
1,6241308,Capital,Cordoba
1,6428525,Capital,Cordoba
1,6743248,Punilla,Cordoba
3,7284506,Monte Caseros,Corrientes
0,6389367,Capital,Cordoba
3,10651714,Constitucion,Santa Fe
1,1917776,Hurlingham,Buenos Aires
1,1540065,Esteban Echeverria,Buenos Aires
0,10374019,General Pedernera,San Luis
0,2537987,La Matanza,Buenos Aires
3,2048627,Jose C. Paz,Buenos Aires
1,5715443,San Nicolas,Buenos Aires
0,8359739,Dr. Manuel Belgrano,Jujuy
3,566868,Comuna 08,Ciudad Autonoma de Buenos Aires
2,10928411,La Capital,Santa Fe
1,1582968,Esteban Echeverria,Buenos Aires
1,7072071,Union,Cordoba
1,4317478,Bolivar,Buenos Aires
1,1164129,Almirante Brown,Buenos Aires
1,5176433,La Plata,Buenos Aires
0,4371803,Canuelas,Buenos Aires
0,9895384,Capital,Salta
3,5262642,Lujan,Buenos Aires
1,4913226,General Viamonte,Buenos Aires
3,3404168,Quilmes,Buenos Aires
0,9961775,Capital,Salta
1,7636921,25 de Mayo,Chaco
1,2806825,Lomas de Zamora,Buenos Aires
0,2906781,Malvinas Argentinas,Buenos Aires
1,6599617,General San Martin,Cordoba
2,5306237,Mar Chiquita,Buenos Aires
1,9965210,Capital,Salta
3,11702787,Choya,Santiago del Estero
1,7339241,Santo Tome,Corrientes
1,816815,Comuna 12,Ciudad Autonoma de Buenos Aires
1,1408485,Avellaneda,Buenos Aires
3,848585,Comuna 12,Ciudad Autonoma de Buenos Aires
3,4824075,General Pueyrredon,Buenos Aires
1,1069866,Comuna 14,Ciudad Autonoma de Buenos Aires
3,3353993,Moron,Buenos Aires
3,3972806,Tres de Febrero,Buenos Aires
1,6625132,Juarez Celman,Cordoba
3,3806191,Tigre,Buenos Aires
3,11591803,Banda,Santiago del Estero
1,9647988,Zapala,Neuquen
3,8720759,Capital,Mendoza
1,11054969,Rosario,Santa Fe
3,5904367,Villa Gesell,Buenos Aires
1,3543362,San Fernando,Buenos Aires
1,10021979,Cerrillos,Salta
1,2787286,Lomas de Zamora,Buenos Aires
0,10002519,Capital,Salta
1,7673559,Escalante,Chubut
1,6517191,Colon,Cordoba
3,1831680,General San Martin,Buenos Aires
1,10020799,Cerrillos,Salta
1,12174358,Rio Grande,Tierra del Fuego
0,6035231,Tinogasta,Catamarca
0,6066632,Capital,Cordoba
1,11523642,San Lorenzo,Santa Fe
1,6757768,Rio Cuarto,Cordoba
0,1172766,Almirante Brown,Buenos Aires
1,9955448,Capital,Salta
1,7727804,Futaleufu,Chubut
